No,Type,Name,M,WS,BS,A,W,Ld,Sv,N,Pt,Weapon,Type,Rng,A,SAP,SAT,Abilties,Keywords
,,,,,,,,,,,,,,,,,,,
1,HQ,Knight Paladin,"5""",2+,5+,2,2,6,3+,1,9,,,,,,,"Great Waaagh!: Add 1 to the Attacks characteristic of friendly Orks Light units whilst they are making Fight actions whilst within 6"" of this unit.
Waaagh!: Re-roll hit rolls of 1 for attacks made with melee weapons by friendly Goff units whilst they are within 6"" of this unit.","Orks, Goff
Light, Infantry, Character, Mega Armour, Warboss, Ghazghkull Thraka"
1,,,,,,,,,,,,Twin Big Shoota,Heavy,"36""",2,7+,9+,,
1,,,,,,,,,,,,Kustom Klaw,Melee,Melee,Usr,7+,7+,,
2,HQ,Knight Errant,"5""",2+,5+,2,1,6,8+,1,3,,,,,,,"Waaagh!: Re-roll hit rolls of 1 for attacks made with melee weapons by friendly <clan> units whilst they are within 6"" of this unit.","Orks, <Clan>
Light, Infantry, Character, Warboss"
2,,,,,,,,,,,,Boss Weapons,Melee,Melee,Usr,8+,8+,,
3,HQ,Knight Castellan,"5""",3+,5+,1,1,5,8+,1,5,,,,,,,"Big Mekaniak: At the end of the Action phase, this unit can attempt to repair one friendly <Clan> Vehicle unit in base contact with it. If it does, roll one D6; on a 4+ remove one damage marker from that Vehicle unit. Only one attempt to repair each unit can be made each turn.
Kustom Force Field: Subtract 1 from wound rolls for attacks made by ranged weapons that target <Clan> units whilst they are wholly within 9"" of any friendly <Clan> units with a Kustom Force Field.","Orks, <Clan>
Light, Infantry, Character, Big Mek"
3,,,,,,,,,,,,,,,,,,"This unit can have Mega Armour. If this unit has Mega Armour, it:
- Is equipped with Mek Mega Weapons instead of 1 Shokk Attack Gun and Mek Weapons.
- Has a Move characteristic of 4"", and Save characteristic of 4+.
- Has the following keyword: Mega Armour.
- Can be equipped with a Tellyport Blasta (Power Rating +1) or can also have a Kustom Force
Field (Power Rating +1). If this unit has a Kustom Force Field it has the following additional abilities: Kustom Force Field.",
3,,,,,,,,,,,,Shokk Attack Gun,Heavy,"60""",2,6+,6+,Destroyer,
3,,,,,,,,,,,,Tellyport Blasta,Heavy,"12""",1,9+,9+,Destroyer,
3,,,,,,,,,,,,Mek Mega Weapons,Melee,Melee,User,8+,8+,-,
3,,,,,,,,,,,,Mek Weapons,Melee,Melee,User,9+,9+,-,
4,HQ,Armiger Helveren,"5""",3+,5+,1,1,4,10+,1,2,,,,,,,"Waaagh! Energy: At the start of the Action phase, if this unit is within 6"" of three or more friendly <Clan> units that each contain at least 10 models, you can turn over the top 3 cards of your Command Asset deck. If you reveal any Command Asset cards that are psychic powers, you can select one of those psychic powers and put in into your hand. Then put the remaining cards back in your Command Asset deck and shuffle the deck.","Orks, <Clan>
Light, Infantry, Psyker, Character, Weirdboy"
4,,,,,,,,,,,,Weirdboy Staff,Melee,Melee,User,9+,9+,,
5,HQ,Armiger Warglaive,"14""",2+,5+,2,2,5,8,1,6,,,,,,,"Speedwaaagh!: If a <Clan> Speed Freeks unit starts a Move action within 6"" of any friendly units with this ability, add 3"" to that unit’s Move characteristic whilst making that Move action.","Orks, <Clan>
Heavy, Vehicle, Character, Speed Freeks, Speedboss, Deffkilla Wartrike"
5,,,,,,,,,,,,Killa Jet,Heavy,"8""",1,6+,9+,Inferno,
5,,,,,,,,,,,,Snagga Klaw,Melee,Melee,User,8+,8+,,
6,Troops,Wardog,"5""",3+,5+,1,2,5,10+,10,4,,,,,,,,"Orks, <Clan>
Light, Infantry, Boyz"
6,,,"5""",3+,5+,2,4,6,10+,20,8,,,,,,,,
6,,,"5""",3+,5+,4,6,7,10+,30,13,,,,,,,,
6,,,,,,,,,,,,,,,,,," Instead of Sluggas and Choppas, this unit can be equipped with Shootas and Close Combat Weapons (Power Rating +1).
For every 10 models in the unit, it can also be equipped with one of the following: 1 Big Shoota; 1 Rokkit Launcha.",
6,,,,,,,,,,,,Big Shoota,Heavy,"36""",1,7+,9+,,
6,,,,,,,,,,,,Rokkit Launcha,Heavy,"24""",1,7+,7+,,
6,,,,,,,,,,,,Shootas,Small Arms,"18""",4x,7+,9+,,
6,,,,,,,,,,,,Sluggas,Small Arms,"12""",2x,7+,9+,,
6,,,,,,,,,,,,Choppas,Melee,Melee,3x,7+,9+,,
6,,,,,,,,,,,,Close Combat Weapons,Melee,Melee,2x,7+,9+,,
7,Troops,Knight Despoiler,"5""",5+,5+,1,2,4,11+,10,1,,,,,,,,"Orks, <Clan>
Light, Infantry, Gretchin"
7,,,"5""",5+,5+,2,4,4,11+,20,2,,,,,,,,
7,,,"5""",5+,5+,3,6,4,11+,30,3,,,,,,,,
7,,,,,,,,,,,,,,,,,,"This unit can include a Runtherd (Power Rating +1). If this unit includes a Runtherd, it has a Leadership characteristic of 6.",
7,,,,,,,,,,,,Grot Blasta,Small Arms,"12""",Usr,8+,10+,,
7,,,,,,,,,,,,Close Combat Weapons,Melee,Melee,Usr,9+,11+,,
8,Elites,Knight Tyrant,"5""",3+,5+,1,1,4,10+,1,2,,,,,,,"Sawbonez: At the end of the Action phase, this unit can attempt to heal one friendly <Clan> Light unit in base contact with it. If it does, roll one D6; on a 4+, remove one damage marker from that Light unit. Only one attempt to heal each unit can be made each turn.","Orks, <Clan>
Light, Infantry, Character, Painboy"
8,,,,,,,,,,,,Doks Tools,Melee,Melee,Usr,9+,9+,,
9,Elites,Knight Rampager,"5""",3+,5+,1,1,4,10+,1,2,,,,,,,"Mekaniak: At the end of the Action phase, this unit can attempt to repair one friendly <Clan> Vehicle unit in base contact with it. If it does, roll one D6; on a 4+, remove one damage marker from that Vehicle unit. Only one attempt to repair each unit can be made each turn.","Orks, <Clan>
Light, Infantry, Character, Mek"
9,,,,,,,,,,,,Meks Tools,Melee,Melee,Usr,9+,9+,,
9,,,,,,,,,,,,,,,,,,,"Orks, <Clan>
Light, Infantry, Burna Boyz "
9,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,"Orks, <Clan>
Light, Infantry, Tankbustas"
9,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,"Orks, <Clan>
Light, Infantry, Nobz "
9,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,"Orks, <Clan>
Light, Infantry, Character, Nob"
9,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,"Orks, <Clan>
Light, Infantry, Mega Armour, Nobz, Meganobz"
9,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,"Orks, <Clan>
Light, Infantry, Kommandos"
9,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,"Orks, <Clan>
Light, Biker, Speed Freeks, Nobz "
9,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,"Orks, <Clan>
Light, Biker, Speed Freeks, Warbikers"
9,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,"Orks, <Clan>
Heavy, Vehicle, Speed Freeks, Kustom Boosta-blastas"
9,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,"Orks, <Clan>
Heavy, Vehicle, Speed Freeks, Shokkjump Dragstas"
9,,,,,,,,,,,,,,,,,,,
